name,prefecture,city,lv01Nm,link,hyoka,comi,yado,onsen_num,dai,roten,sauna,kinen,kokyu,tanjun,enka,tansan,iou,housya,ryusan,sansei,gantetsu,nisan,youso
鬼怒川温泉,栃木県,日光市,鬼怒川温泉滝,なし,4.15,33993,39,37,32,33,17,37,7,True,True,False,False,True,False,False,False,False,False
日光温泉,栃木県,日光市,所野,なし,4.25,9285,39,37,15,21,3,38,5,True,False,False,False,False,False,False,False,False,False
有馬温泉,兵庫県,神戸市北区,有馬町,http://www.arima-onsen.com,4.22,21059,40,37,33,26,15,37,13,True,True,False,False,True,True,False,True,False,False
道後温泉郷,愛媛県,松山市,二番町三丁目,https://dogo.jp/,4.34,37581,38,36,27,24,10,37,3,True,False,False,True,False,False,False,False,False,False
土肥温泉,静岡県,伊豆市,土肥,http://www.toi-annai.com,4.37,9945,37,35,17,21,4,30,3,True,True,False,False,True,True,False,False,False,False
飛騨高山温泉,岐阜県,高山市,西之一色町二丁目,なし,4.28,22746,36,35,28,21,9,35,5,True,True,True,False,True,False,False,False,False,False
伊豆長岡温泉,静岡県,伊豆の国市,古奈,http://izuspa.com,4.21,17313,35,34,33,31,9,34,2,True,False,False,True,False,False,False,False,False,False
南阿蘇温泉,熊本県,南阿蘇村,大字久石,http://minamiaso-onsen.jp,4.39,9791,40,34,13,16,8,35,3,True,False,True,True,True,True,True,False,False,False
飯坂温泉,福島県,福島市,飯坂町,http://www.iizaka.com,3.83,7750,38,33,27,10,3,33,0,True,False,False,False,False,True,False,False,False,False
蔵王温泉,山形県,山形市,蔵王温泉,http://www.zao-spa.or.jp,4.39,12052,37,32,19,21,5,32,1,False,True,False,True,True,True,True,True,False,False
塩原温泉,栃木県,那須塩原市,塩原,http://www.siobara.or.jp/,4.21,10416,36,32,21,23,3,27,1,True,True,True,False,False,True,False,False,False,False
四万温泉,群馬県,中之条町,大字四万,http://shimaonsen.com,4.31,11182,32,32,17,26,1,32,3,True,True,True,False,True,True,False,False,False,False
夕日ヶ浦温泉,京都府,京丹後市,網野町浜詰,なし,4.38,4042,32,31,23,19,0,30,9,True,False,False,False,False,False,False,False,False,False
新穂高温泉,岐阜県,高山市,奥飛騨温泉郷神坂,http://shinhotaka.com,4.37,2233,36,30,14,29,1,28,0,True,True,True,True,False,False,False,False,False,False
遠刈田温泉,宮城県,不明,不明,http://togatta.jp,4.38,5693,30,29,17,16,4,28,3,True,True,True,True,True,True,False,True,False,False
道後温泉,愛媛県,松山市,道後鷺谷町,http://www.dogo.or.jp/,4.39,21486,29,29,20,18,4,29,3,True,False,False,False,False,False,False,False,False,False
黒川温泉,熊本県,南小国町,大字満願寺,http://www.kurokawaonsen.or.jp,4.58,6286,32,29,20,26,4,29,2,True,True,True,True,True,True,True,False,False,False
片品温泉,群馬県,片品村,大字土出,なし,4.41,1054,30,28,18,4,2,26,0,True,False,False,True,False,False,False,False,False,False
