name,prefecture,city,lv01Nm,link,hyoka,comi,yado,onsen_num,dai,roten,sauna,kinen,kokyu,tanjun,enka,tansan,iou,housya,ryusan,sansei,gantetsu,nisan,youso,latitude,longitude,都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
熱海温泉,静岡県,熱海市,西熱海町一丁目,http://www.atamispa.com,4.12,40267,77,71,50,49,18,70,15,True,True,True,False,True,True,False,True,False,False,35.1169364,139.073482,静岡県,0,139.0,5.0,30.0,35.0,6.0,30.0,0,不明,温泉・鉱泉,0,0,0,67.3,0,0,8.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,3380.0,0,0,0,0,0,0,0,0,0,0,0,0,8586.0,0,0,0,0,0,0,0,0,1053,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"食塩泉中のストロンチウム濃度およびSr/Ca比の変動について,温泉科学,1986"
片品温泉郷,群馬県,片品村,大字戸倉,http://www.oze-info.com/onsen/index.html,4.33,2611,72,65,37,7,3,63,0,True,True,False,True,False,False,False,False,False,False,36.807685,139.235485,群馬県,利根郡片品村,139.0,19.0,58.0,36.0,51.0,52.0,0,不明,温泉・鉱泉,0,0,0,38.5,0,0,0,6.2,0,0,0,0.0,0,0,0,0,0,0,734.5,18.8,0,0,0,163,96.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1735,0,0,0,0,0,0,0,0,52.4,0,0,0.0,0,0,0,0,0,0,0,mg/kg,0,"新潟地熱資源図説明書,地質調査所,1993"
湯田中渋温泉郷,長野県,山ノ内町,大字平穏,http://www.yudanaka-onsen.info,4.33,11441,75,65,39,33,7,61,5,True,True,True,True,True,True,False,True,False,False,36.7405865,138.4161556,長野県,下水内郡栄村,138.0,38.0,5.0,36.0,51.0,4.0,0,不明,温泉・鉱泉,0,0,0,45,18.0,0,6.7,0.0,0,0,0,0.0,0,0,0,0,0,0,5664.0,329.4,0,0,0,284.7,1829.0,0,0,0,0,0,0,0,0,0,0,0,0,11180.0,0,0,0,0,0,0,0,0,1202.0,0,0,0,0,1577.0,0,0,0,0,0,0,0,0,101.5,0,0,0.0,0,0,0,0,0,0,0,0,0,新潟地熱資源図説明書，地質調査所，1993
鳥羽温泉郷,三重県,鳥羽市,相差町,http://www.toba-onsen.com,4.24,36938,73,64,59,46,12,70,6,True,True,True,False,False,True,False,False,False,False,34.389597,136.903956,三重県,鈴鹿市国府町前が谷,136.0,30.0,55.0,34.0,51.0,5.0,0,井戸,温泉・鉱泉,1500.0,0,25.0,41.2,510.0,0,8.3,0.0,0,0.9989,0,641.7,1100.0,0,0,0,0,0,246.6,2.9530000000000003,0,0,0.888,1.942,7.207999999999999,0,0,0,0.0,0.14300000000000002,0,0,0,0,0,0,0.43,161.5,0,0,0.034,0,0,0,0,0,0.0,0,0,0,0,408.7,2.3280000000000003,0,0,0,0,0,0,0,0,0,0,0.0,0.024,4.727,0,0,0,0,0,0,1972.9.28.,"濃尾平野の超深層地下水について（第２報）,愛知県衛研所報,1974"
城崎温泉,兵庫県,豊岡市,城崎町今津,http://www.kinosaki-spa.gr.jp,4.24,17015,67,63,31,22,6,62,6,True,True,False,True,False,True,False,False,False,False,35.6289809,134.7981048,兵庫,0,134.0,37.0,42.0,35.0,36.0,25.0,0,不明,温泉・鉱泉,0,0,0,0,0,0,7.4,0.0,0,0,0,0.0,2860.0,0,0,0,0,0.24,346.0,8.0,0,0,0,1.0,197.0,0,0,0.04,0.07,0.05,0,0,0,0,0,0,4.11,612.0,1.98,0.05,0,0,0,0,0,0,343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,0,0,0.0,<0.5,0,10.8,0.08199999999999999,0,0,0.87,0,1995.11.17.,"兵庫県北西部浜坂周辺温泉の成因,温泉科学,1996"
白浜温泉,和歌山県,白浜町,－,http://www.nanki-shirahama.com/index.php,4.10,30855,61,58,36,25,11,58,3,False,True,True,True,True,False,False,False,False,False,33.6829695837402,135.347747802734,和歌山県,湯元,135.0,33.0,47.0,33.0,57.0,4.0,0,不明,温泉・鉱泉,0,0,10.0,45,0,0,8,0.0,0,0,0,0.0,0,0,0,0,0,0,932,102,0,0,0,1.1,8,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,0,0,0,0,0,0,9.9,0,0,0,0,1046.8,0,0,0,0,0,0,0,0,0,0,0,0.0,1.5,0,0,0,0,0,0,0,0,"紀伊半島中南部地方の温泉群について,地調月報,1958"
湯河原温泉,神奈川県,熱海市,泉,http://www.yugawara.or.jp,4.16,13361,61,55,40,38,9,51,11,True,True,False,False,True,True,False,False,False,False,35.1422209875488,139.084823608398,神奈川県,福住湧泉,139.0,6.0,10.0,35.0,13.0,40.0,0,坑道,温泉・鉱泉,0,0,0,44.5,172,0,7.8,0.0,0,0,0,530.0,0,0,0,0,0,0,134.0,1.59,0,0,0,0.38,22.3,0,0,0,0,0,0,0,0,0,0,0,0,149.0,0,0,0,0,0,0,0,0,157,0,0,0,0,39.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1981.10.14.,"地下水中のラドンの連続観測,神奈川県温泉地学研究所報告,1982"
乗鞍高原温泉,長野県,松本市,安曇,http://www.spa-norikura.com,4.42,3914,64,55,12,36,2,52,0,True,False,True,True,True,False,True,False,False,False,36.1250811,137.649817,長野県,東御殿の湯,137.0,59.0,40.0,36.0,15.0,40.0,0,不明,温泉・鉱泉,0,0,0,46,0,0,8.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,38.0,0,0,0,0,0,0,0,0,190.9,0,0,0,0,12.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1955.3.,"長野県浅間温泉調査報告,地調月報,1957"
加賀温泉郷,石川県,小松市,粟津町,http://www.tabimati.net/,4.10,34392,57,53,50,50,16,52,6,True,True,False,False,True,True,False,False,False,False,36.288743,136.360931,石川県,0,136.0,46.0,21.0,36.0,42.0,10.0,0,井戸,温泉・鉱泉,298.0,0,0,25.6,10.0,0,7.4,0.0,0,0,0,0.0,0,0,0,0,0,0,17.5,15.0,0,0,3.37,11.9,22.0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,4.6,0,0,0,0,185.0,0.0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,"能登半島のヘリウム資源調査研究,地調月報,1974"
伊東温泉,静岡県,伊東市,末広町,http://www.ito.or.jp,4.23,29583,51,49,33,32,9,47,9,True,True,False,False,False,True,False,False,False,False,34.9722952,139.088234,静岡県,熱海市,139.0,4.0,13.0,35.0,5.0,52.0,0,井戸,温泉・鉱泉,300.0,0,0,63.0,0,0,8.0,0.0,0,0,0,9300.0,0,0,0,0,0,0,555.0,15.1,0,0,0,1.7,980.6,0,0,0.6,0,0,0,0.7,0,0,0,0,0,2155.8,0,0,0,0,0,0,0,0,629.2,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0,8.2,0.0,0,0,0,0,0,0,0,0,1964,"熱海温泉の熱水系について,地調月報,1969"
鉄輪温泉,大分県,別府市,御幸,http://www.kannawaryokan.com,4.22,8971,53,49,19,32,12,47,3,True,True,True,True,True,True,True,True,False,False,33.3159843,131.4777943,大分県,0,131.0,35.0,22.0,33.0,36.0,9.0,0,不明,温泉・鉱泉,0,0,0,33.8,0,0,7.41,0.0,0,0,0,0.0,0,0,0,0,0,0,460.0,1.4,0,0,0,5.2,313.0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,720.0,0,0,0,0,75.6,0,0,0,0,0,0,0,0,47.0,0,0,0.0,0,0,0,0,0,0,0,0,1977-11-27 00:00:00,"国東半島の温鉱泉の化学組成,大分県温泉調査研究会報告第33号,1982"
石和温泉,山梨県,笛吹市,石和町市部,http://www.isawaonsen.or.jp,4.11,19624,52,47,41,39,13,45,1,True,False,False,True,False,True,False,False,False,False,35.658363,138.652243,山梨県,北巨摩郡須玉町増富,138.0,32.0,40.0,35.0,51.0,50.0,0,不明,温泉・鉱泉,0,0,23.0,24,3.9,0,6.01,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1971-08-15 00:00:00,山梨県増富温泉の微量成分の化学的研究（Ｉ），山梨大学教育学部研究報告，1973
塩原温泉郷,栃木県,那須塩原市,塩原,http://www.siobara.or.jp/,4.27,14550,53,47,33,35,5,42,3,True,True,True,True,False,True,True,False,False,False,36.9886993,139.806006,栃木県,那須郡那須町,140.0,0.0,36.0,37.0,5.0,15.0,0,不明,温泉・鉱泉,0,0,0,63.7,845.0,0,2.3,0.0,0,0,0,0.0,0,0,0,0,0,0,28.0,7.4,0,0,0,19.6,66.4,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0,0,0,0,0,0,0,0,667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.0,0,0,0.0,0,0,0,0,0,0,0,0,0,"新潟地熱資源図説明書,地質調査所,1993"
仙石原温泉,神奈川県,箱根町,仙石原,http://www.sengokuhara-onsen.com,4.24,13689,51,46,31,29,6,45,11,True,True,True,True,True,True,True,False,False,False,35.262245,139.012143,神奈川県,信玄館,139.0,3.0,10.0,35.0,26.0,30.0,0,井戸,温泉・鉱泉,0,0,0,32.9,0,0,9.93,7.75,0,0,0,528.6,0,0,0,0,0,0.088,153.0,1.72,0,0,0,0.48200000000000004,19.9,0,0,0.068,0,0.15,0,0,0,0,0,0,0,44.57,0,0,1.45,0,0,0,0,0,260,0,0,0,0,32.6,1.64,0,0,0,0,0,0,0,0,0,1.319,0.446,0,0,0,0,0,0,0,0,1963-09-27 00:00:00,"丹沢山地の温泉鉱泉.神奈川県温研報告,1964"
