都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
群馬県,磯部町,,,,,,,,井戸,用水,11,,5,14,,,6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,,,0,,,,,,,,,,143,,,,,,,,,,,,,,143,248,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,12,,11.5,10,,,6.8,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,,0,,,,,,,,,,113,,,,,,,,,,,,,,2.2,83.8,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,3,,7,13,,,6.4,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,0,,,,,,,,,,36.6,,,,,,,,,,,,,,2.2,28.6,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,5.5,,5,10.5,,,6.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,0,,,,,,,,,,21.3,,,,,,,,,,,,,,2.2,17.6,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,4.5,,13,14.5,,,6.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,2.2,13.2,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,11.1,,,10.8,,,6.5,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,,,,0,,,,,,,,,,763,,,,,,,,,,,,,,73.8,625,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,11.2,,5.6,10.5,,,7,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,0,,,,,,,,,,154,,,,,,,,,,,,,,7,118,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,11.5,,12.1,11.8,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,0,,,,,,,,,,122,,,,,,,,,,,,,,4.4,92.5,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,12.5,,12.2,10.5,,,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,0,,,,,,,,,,65.9,,,,,,,,,,,,,,4.4,52,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,12.7,,12.3,12.8,,,6.6,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,0,,,,,,,,,,159,,,,,,,,,,,,,,17.2,132,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,12.7,,11.5,11.8,,,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,0,,,,,,,,,,113,,,,,,,,,,,,,,5.7,87.2,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,12,,11.3,9.7,,,6.8,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,,,,0,,,,,,,,,,155,,,,,,,,,,,,,,11.9,124,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,12,,11.4,11.2,,,6.6,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,,,0,,,,,,,,,,313,,,,,,,,,,,,,,58.2,284,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,12,,11,9.8,,,6.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,0,,,,,,,,,,68.4,,,,,,,,,,,,,,7.1,56.5,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,11.8,,2,9.8,,,7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,23.2,,,,,,,,,,,,,,3.5,20.3,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,17,,4.3,9.5,,,7.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,,,,,,,,,,,,153,,,,,,,,,,,,,,1.8,113,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,16,,4.5,11.8,,,6.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,101,,,,,,,,,,,,,,1.8,74.7,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,12.1,,1.3,11.8,,,6.6,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,33,,,,,,,,,,,,,,1.8,26.6,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,9.5,,8.9,11.7,,,6.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,,0,,,,,,,,,,48.9,,,,,,,,,,,,,,7.1,42.4,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,8.5,,5.2,10.4,,,6.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,0,,,,,,,,,,55,,,,,,,,,,,,,,4.4,44.1,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,8.5,,5.4,9.6,,,6.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,0,,,,,,,,,,36.6,,,,,,,,,,,,,,6.2,32.6,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,5.5,,5.5,12.3,,,6.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,0,,,,,,,,,,30.5,,,,,,,,,,,,,,2.6,24.6,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,11.5,,5.4,9.8,,,7,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,0,,,,,,,,,,94,,,,,,,,,,,,,,7.1,74.9,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,12.5,,5.6,9.7,,,6.5,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,0,,,,,,,,,,47.6,,,,,,,,,,,,,,10.6,45,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,9.3,,4,10.2,,,7.1,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,0,,,,,,,,,,113,,,,,,,,,,,,,,7.1,88.8,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,9,,3.6,10.8,,,6.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,24.4,,,,,,,,,,,,,,3.5,21.1,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,7.5,,3.8,9.3,,,6.3,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,,,,,,,,,,,,,,20.8,,,,,,,,,,,,,,1.8,16.8,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,6.5,,8.7,9.8,,,6.6,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,,,,,,,,,,36.6,,,,,,,,,,,,,,13.2,39.6,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,4.5,,3.4,7.9,,,6.7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,73.3,,,,,,,,,,,,,,2.6,55.6,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,11,,3.5,10.8,,,6.5,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7,,,,0,,,,,,,,,,166,,,,,,,,,,,,,,1.8,122,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
群馬県,磯部町,,,,,,,,井戸,用水,7.7,,3.2,9.3,,,6.8,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,0,,,,,,,,,,33,,,,,,,,,,,,,,1.8,25.6,,,,,,1955.2.,"群馬県磯部町附近地化学調査報告,地調月報,1957"
