都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
奈良県,川西村,135,46,40,34,34,50,,井戸,用水,170,,,20.1,,無色透明,7.3,7.9,,,,,,,,2.2,,,43.7,2.3,,,1.54,5.4,21.6,,,,0,0.53,,0.6,,,,,,9.5,,,,0,0,,,,8.2,,,,,190.38,,,,,,,,,33.3,,,0.46,,,,,,1.47,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,川西村,135,45,20,34,34,40,,井戸,用水,200,,,,864,無色透明,7.6,8.1,,,,,,,,1.67,,,34.7,1.8,,,1.54,2.4,18.7,,,,0,0.24,,0.36,,,,,,2.5,,,,0,0,,,,5.4,,,,,158.65,,,,,,,,,30,,,0.27,,,,,,0.89,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,河合村,135,43,40,34,35,0,,井戸,用水,118,,,18.4,180,無色透明,7.3,8,,,,,,770,,1.38,,,140.8,7,,,0.74,13.3,62.3,,,,0,1.09,,1.26,,,,,,232,,,,0,0,,,,2.6,,,,,248.96,,,,,,,,,31.6,,,0.16,,,,,,0.18,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,上牧村,135,43,50,34,34,0,,井戸,用水,121,,,18.8,,無色透明,7,8.1,,,,,,3300,,1.08,,,22.8,4.6,,,0.66,8.6,22.8,,,,0,0.85,,1.14,,,,,,16.2,,,,0,0,,,,3,,,,,146.45,,,,,,,,,46.6,,,0.37,,,,,,0.16,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,広陵町,135,45,30,34,33,50,,井戸,用水,200,,,17.4,2500,無色透明,7.8,8.2,,,,,,2100,,2.67,,,67.7,1.5,,,1.35,2.8,23.7,,,,0,0.18,,0.29,,,,,,34.7,,,,0,0,,,,3.5,,,,,205.64,,,,,,,,,28.1,,,1.76,,,,,,0.83,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,広陵町,135,44,20,34,32,20,,井戸,用水,27,,,17,,無色透明,6,7.7,,,,,,,,0.52,,,23.1,1.9,,,0.08,5.4,23.2,,,,0,0.07,,0.11,,,,,,34.6,,,,0,0,,,,2.4,,,,,95.8,,,,,,,,,62.1,,,2.09,,,,,,0.05,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,広陵町,135,46,0,34,32,40,,井戸,用水,160,,,19.4,2000,無色透明,7.4,8,,,,,,1600,,2.06,,,71.7,2.9,,,1.46,7.7,38.6,,,,0.43,1.48,,1.56,,,,,,54.6,,,,0,0,,,,2.6,,,,,244.69,,,,,,,,,34.5,,,0.56,,,,,,0.72,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,田原本町,135,48,0,34,34,10,,井戸,用水,215,,,23.9,600,無色透明,7.9,8.2,,,,,,2600,,2.34,,,48.6,1.1,,,0.96,1.9,21.6,,,,0,0.28,,0.29,,,,,,1.2,,,,0,0,,,,4.2,,,,,201.98,,,,,,,,,23.4,,,0.16,,,,,,0.57,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,田原本町,135,46,50,34,33,40,,井戸,用水,180,,,21.2,60,無色透明,7.5,8.2,,,,,,3300,,2.04,,,35,1.3,,,0.88,3,22.4,,,,0,0.18,,0.44,,,,,,2.2,,,,0,0,,,,4.1,,,,,168.42,,,,,,,,,26.3,,,1.04,,,,,,0.81,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,田原本町,135,47,40,34,32,40,,井戸,用水,160,,,20.2,1800,無色透明,7.5,8.2,,,,,,3800,,1.38,,,25.4,1.4,,,0.58,3.5,23,,,,0.05,0.38,,0.39,,,,,,3.4,,,,0,0,,,,3.3,,,,,147.06,,,,,,,,,29,,,0.19,,,,,,0.58,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
奈良県,田原本町,135,48,30,34,32,30,,井戸,用水,160,,,20.3,80,無色透明,7.8,8.4,,,,,,4700,,0.76,,,23.8,0.9,,,0.45,2.9,22.3,,,,0,0.18,,0.23,,,,,,2.8,,,,0,0,,,,2.8,,,,,136.68,,,,,,,,,22.2,,,0.43,,,,,,0.29,,,1963-07-29 00:00:00,"奈良県大和盆地の地下水,地調月報,1965"
