都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,free H2s,free Co2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
大分県,中津市,131,11,0,33,35,30,,井戸,用水,3.8,,,15.3,,,7.3,7.9,,,,,,,,0.54,,,19.8,3.4,,,0,8.5,32.6,,,,0,,,0.02,,,,,,24.6,,,,0.02,,,,,35.7,,,,,,,,,,,,,,32.9,,,,,,,,,0,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,中津市,131,13,20,33,35,40,,井戸,用水,115,,,19.1,,,7.5,7.6,,,,,,,,0.24,,,7.2,2.7,,,0,5.9,9.2,,,,,0,,0.04,,,,,,3.4,,,,0,0.08,,,,4,,,,,,,,,,,,,,62.3,,,,,,,,,0.14,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,中津市,131,13,50,33,35,40,,井戸,用水,112,,,18.7,,,7.4,7.8,,,,,,,,0.43,,,8.6,2.8,,,0,6.1,7.9,,,,0.15,0.29,,0.31,,,,,,3.6,,,,,,,,,3.2,,,,,,,,,,,,,,60,,,,,,,,,0.13,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,中津市,131,13,0,33,34,10,,井戸,用水,133,,,17,,,7.4,7.7,,,,,,,,0.46,,,7.5,3.9,,,,4.9,8.3,,,,0.03,0.07,,0.09,,,,,,7.6,,,,0,,,,,2.8,,,,,,,,,,,,,,63.7,,,,,,,,,0.12,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,中津市,131,14,50,33,35,0,,井戸,用水,6,,,15,,,6.1,6.8,,,,,,,,0.61,,,16.2,7.5,,,0,10.8,17.8,,,,0.03,0,,0.19,,,,,,25.8,,,,0,63,,,,22.3,,,,,,,,,,,,,,10.8,,,,,,,,,0,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,中津市,131,16,10,33,34,30,,井戸,用水,,,,21,,,7.5,7.7,,,,,,,,0.47,,,13.1,3.3,,,0,7.5,6.5,,,,0.32,0.13,,0.15,,,,,,7.1,,,,0,,,,,2.1,,,,,,,,,,,,,,70,,,,,,,,,0.19,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,宇佐郡長州町,131,20,50,33,34,0,,井戸,用水,,,,17.7,,鉄バクテリア検出Ｈ2Ｓ臭僅かに,7.2,7.5,,,,,,,,0.38,,,11.3,3.7,,,0.1,8.9,12.2,,,,0.12,0.09,,0.13,,,,,,3.7,,,,0,,,,,2.5,,,,,,,,,,,,,,73,,,,,,,,,0.14,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,宇佐郡長州町,131,22,40,33,34,0,,井戸,用水,75,,,18.7,,,6.9,7.7,,,,,,,,0.48,,,16.3,3.5,,,0.09,9.3,16.6,,,,0.24,0.25,,0.34,,,,,,21,,,,0,,,,,10.9,,,,,,,,,,,,,,75.8,,,,,,,,,0.01,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,長州町,131,22,30,33,33,50,,井戸,用水,72,,,20.1,,,7.3,7.7,,,,,,,,0.47,,,7.5,1.9,,,0,7.2,9.5,,,,0.17,0.19,,0.2,,,,,,3.6,,,,0,,,,,3.7,,,,,,,,,,,,,,74.5,,,,,,,,,0.15,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,長州町,131,22,0,33,33,30,,井戸,用水,100,,,20.4,,,7.3,7.7,,,,,,,,0.43,,,7.2,2.4,,,,5.1,6.8,,,,0.04,0.1,,0.11,,,,,,4.2,,,,0,,,,,3.2,,,,,,,,,,,,,,77,,,,,,,,,0.14,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,豊後高田市玉津志手町１３５０,131,27,0,33,33,20,,井戸,用水,100,,,20,,,6.7,7.9,,,,,,,,0.74,,,34.6,4.9,,,,20.3,13.9,,,,0.03,0.04,,0.06,,,,,,28.4,,,,0,,,,,4.8,,,,,,,,,,,,,,91,,,,,,,,,0.14,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,豊後高田市,131,27,10,33,34,40,,井戸,用水,30,,,18.4,,鉄バクテリア検出,6.9,7.9,,,,,,,,0.4,,,13.7,2,,,0,6.9,20.7,,,,0,0.12,,0.17,,,,,,16.8,,,,0,,,,,7.5,,,,,,,,,,,,,,84.8,,,,,,,,,0.11,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
