都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
沖縄県,宮古島,,,,,,,,井戸,用水,,,,22.5,,,7.2,,,,,,479,,,1.9,,,,,,,,11.8,58.5,,,,,,,0.11,,,,,,42,,,,,,,,,10,,,,,187,,,,,,,,,2.4,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,24,,,7.2,,,,,,461,,,2.5,,,,,,,,4.9,76.1,,,,,,,0.06,,,,,,39.9,,,,,,,,,0,,,,,207,,,,,,,,,4.8,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,湧泉,用水,,,,24,,,7,,,,,,518,,,2.8,,,,,,,,0,79.3,,,,,,,0.1,,,,,,52.3,,,,,,,,,0,,,,,198,,,,,,,,,3.6,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,24.5,,,7,,,,,,520,,,7.2,,,,,,,,12.9,59.7,,,,,,,0.11,,,,,,54.8,,,,,,,,,0,,,,,194,,,,,,,,,3,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,23.5,,,7.2,,,,,,472,,,1.8,,,,,,,,1.7,77.7,,,,,,,0.11,,,,,,48.3,,,,,,,,,0,,,,,200,,,,,,,,,3.6,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,湧泉,用水,,,,23.6,,,7.4,,,,,,447,,,0,,,,,,,,6.6,66.9,,,,,,,0.11,,,,,,44.6,,,,,,,,,0,,,,,190,,,,,,,,,2.4,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,,,,7.2,,,,,,573,,,2.2,,,,,,,,4.9,77.7,,,,,,,0,,,,,,60,,,,,,,,,10,,,,,211,,,,,,,,,3,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,湧泉,用水,,,,23.7,,,7.6,,,,,,580,,,2.4,,,,,,,,12.1,64.5,,,,,,,0.11,,,,,,80.4,,,,,,,,,10,,,,,203,,,,,,,,,2.8,,,,,,,,,,,,1964-09-07 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,23,,,7,,,,,,508,,,0.8,,,,,,,,4.3,77.7,,,,,,,0.11,,,,,,42.8,,,,,,,,,10,,,,,209,,,,,,,,,3.4,,,,,,,,,,,,1964-09-08 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
沖縄県,宮古島,,,,,,,,井戸,用水,,,,23.6,,,7.2,,,,,,409,,,3,,,,,,,,0,71.3,,,,,,,0.06,,,,,,36.6,,,,,,,,,10,,,,,178,,,,,,,,,2.4,,,,,,,,,,,,1964-09-08 00:00:00,"沖縄の河川および地下水の水質,工業用水,1965"
