都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,Ｅｈ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
和歌山県,湯の谷,135,20,47,33,40,26,,不明,温泉・鉱泉,310,,13,75,,,8.3,,,,,,,,,,,,1625,95,,,,14,31.9,,,,,,,,,,,,,1078,,,,,,,,,1.6,,,,,2745,18,,,,,,,,,,,,1,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,製塩所下海岸,135,20,47,33,40,26,,不明,温泉・鉱泉,,,15,63,,,7.3,,,,,,,,,,,,1568,90,,,,48.5,71.7,,,,,,,,,,,,,1482.2,,,,,,,,,86.4,,,,,2098.4,,,,,,,,,,,,,1.2,8.8,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,文珠,135,20,47,33,40,26,,不明,温泉・鉱泉,,,10,62,,,7.4,,,,,,,,,,,,1357,77,,,,18.3,37.8,,,,,,,,,,,,,1035.4,,,,,,,,,1.6,,,,,2135,,,,,,,,,,,,,1,9.9,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,行幸温泉合併,135,20,47,33,40,26,,不明,温泉・鉱泉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219.8,,,,,,,,,,,,,,2781.6,,,,,,,,,,,,,1.4,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,椿楼,135,23,48,33,35,52,,不明,温泉・鉱泉,200,,,31,,,9.6,,,,,,,,,,,,87,1,,,,0.7,3,,,,,,,,,,,,,70.9,,,,,,,,,6.6,,,,,17.1,51.6,,,,,,,,,,,,3,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,ときわ荘,135,23,48,33,35,52,,不明,温泉・鉱泉,200,,,36,,,9.8,,,,,,,,,,,,91,1,,,,0.9,2,,,,,,,,,,,,,70.9,,,,,,,,,4.1,,,,,18.3,48,,,,,,,,,,,,6,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,湯元,135,33,47,33,57,4,,不明,温泉・鉱泉,,,10,45,,,8,,,,,,,,,,,,932,102,,,,1.1,8,,,,,,,,,,,,,35.3,,,,,,,,,9.9,,,,,1046.8,,,,,,,,,,,,,1.5,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,霊泉閣,135,30,12,33,44,21,,不明,温泉・鉱泉,20,,13,29,,,6.6,,,,,,,,,,,,870,95,,,,41.7,81.7,,,,,,,,,,,,,680.8,,,,,,,,,0.8,,,,,2061.8,,,,,,,,,,,,,0,148.5,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,らん水荘,135,30,12,33,44,21,,不明,温泉・鉱泉,20,,13,19.5,,,6.6,,,,,,,,,,,,932,102,,,,41.9,66.7,,,,,,,,,,,,,680.8,,,,,,,,,0.8,,,,,2156.9,,,,,,,,,,,,,0,154,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,中ノ島本館,135,56,46,33,37,43,,不明,温泉・鉱泉,200,,13,56.5,,,8.8,,,,,,,,,,,,426,9,,,,3.1,126.5,,,,,,,,,,,,,886.8,,,,,,,,,63.8,,,,,71.4,13.2,,,,,,,,,,,,24.3,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,中ノ島別館,135,56,46,33,37,43,,不明,温泉・鉱泉,150,,13,36,,,8.7,,,,,,,,,,,,320,7,,,,2.4,75.7,,,,,,,,,,,,,670.2,,,,,,,,,50.4,,,,,56.7,6,,,,,,,,,,,,18.6,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,浦島温泉,135,56,46,33,37,43,,不明,温泉・鉱泉,,,12,54,,,8.7,,,,,,,,,,,,640,13,,,,7.4,243.5,,,,,,,,,,,,,1442.1,4.6,,,,,,,,15.2,,,,,64.7,14.4,,,,,,,,,,,,30.8,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,勝浦荘,135,56,46,33,37,43,,不明,温泉・鉱泉,,,12,45,,,8.5,,,,,,,,,,,,318,6,,,,2.4,79.2,,,,,,,,,,,,,613.5,,,,,,,,,37,,,,,47,8.4,,,,,,,,,,,,13.6,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,すなはま旅館,135,56,46,33,37,43,,不明,温泉・鉱泉,300,,13,40.5,,,8.1,,,,,,,,,,,,1365,9,,,,111.4,357.6,,,,,,,,,,,,,2838.4,,,,,,,,,366.8,,,,,47,4.8,,,,,,,,,,,,1.8,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,金波桜,135,56,46,33,37,43,,不明,温泉・鉱泉,248,,15,43,,,8.5,,,,,,,,,,,,317,7,,,,29,49.8,,,,,,,,,,,,,610,,,,,,,,,51,,,,,47,6,,,,,,,,,,,,6.4,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,仁志の湯,135,56,46,33,37,43,,不明,温泉・鉱泉,200,,14,41.5,,,,,,,,,,,,,,,94,3,,,,0.9,11,,,,,,,,,,,,,132.2,,,,,,,,,14,,,,,56.1,6,,,,,,,,,,,,3.9,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,なぎさや１号,135,56,46,33,37,43,,不明,温泉・鉱泉,288,,11,41,,,8.3,,,,,,,,,,,,400,9,,,,44.8,64.7,,,,,,,,,,,,,778.2,2.3,,,,,,,,99.4,,,,,41.5,8.4,,,,,,,,,,,,1.6,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,なぎさや２号,135,56,46,33,37,43,,不明,温泉・鉱泉,360,,11,42,,,8.2,,,,,,,,,,,,650,14,,,,93.3,141.4,,,,,,,,,,,,,1399.8,,,,,,,,,178.1,,,,,39.1,4.8,,,,,,,,,,,,1.1,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,黒潮温泉,135,56,46,33,37,43,,不明,温泉・鉱泉,300,,14,37,,,8.8,,,,,,,,,,,,66,1,,,,0.4,6,,,,,,,,,,,,,77.6,,,,,,,,,11.1,,,,,49.4,12,,,,,,,,,,,,2.7,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,温泉ホ−ル,135,56,46,33,37,43,,不明,温泉・鉱泉,300,,14,36,,,8.6,,,,,,,,,,,,53,1,,,,0.4,5,,,,,,,,,,,,,40.5,,,,,,,,,11.1,,,,,57.3,15.6,,,,,,,,,,,,1.5,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,貴志の湯,135,56,46,33,37,43,,不明,温泉・鉱泉,,,14,43,,,8.3,,,,,,,,,,,,216,5,,,,0.9,57.3,,,,,,,,,,,,,419.6,,,,,,,,,20.2,,,,,36.6,4.8,,,,,,,,,,,,11.9,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,越の湯日和山１号,135,56,46,33,37,43,,不明,温泉・鉱泉,176,,15,40,,,8.5,,,,,,,,,,,,330,8,,,,32.5,44.8,,,,,,,,,,,,,604.7,,,,,,,,,86,,,,,47,8.4,,,,,,,,,,,,3.1,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
和歌山県,越の湯日和山２号,135,56,46,33,37,43,,不明,温泉・鉱泉,170,,15,40,,,9.1,,,,,,,,,,,,60,1,,,,0.7,5,,,,,,,,,,,,,67,,,,,,,,,18.9,,,,,36.6,12,,,,,,,,,,,,4.1,,,,,,,,,"紀伊半島中南部地方の温泉群について,地調月報,1958"
