都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
新潟県,新津油田小口地区,,,,,,,,井戸,油井,196.4,,20,,,,6.9,7.9,,,,,,,,,,,,,,,5.55,,,,,,,9.62,0.18,9.8,,,,,,2567,,,,0,0,,,,,,,,,2790,0,,,,,,,,,,,2.14,,312,2380,,,0.02,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,新津油田小口地区,,,,,,,,井戸,油井,332.8,,15,24.4,,,7.2,8,,,,,,,,,,,,,,,9,,,,,,,3.24,1.6,4.84,,,,,,6414,,,,0,0,,,,,,,,,2410,0,,,,,,,,,,,1.53,,39.6,1780,,,0.03,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,新津油田小口地区,,,,,,,,井戸,油井,118.5,,20,24.5,,,6.8,8.3,,,,,,,,,,,,,,,8.14,,,,,,,2.21,0.98,3.19,,,,,,2145,,,,0,0,,,,,,,,,1900,0,,,,,,,,,,,1.76,,99,1470,,,0.05,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,新津油田小口地区,,,,,,,,井戸,油井,,,20,25,,,6.5,7.8,,,,,,,,,,,,,,,5.74,,,,,,,24,1,25,,,,,,3356,,,,0,0,,,,,,,,,2550,0,,,,,,,,,,,0.84,,443,2280,,,0.08,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,新津油田小口地区,,,,,,,,井戸,油井,382.4,,20,20.8,,,7.1,7.7,,,,,,,,,,,,,,,6.23,,,,,,,0.53,8.17,8.7,,,,,,3816,,,,0,0,,,,,,,,,4370,0,,,,,,,,,,,2.09,,88,3230,,,0,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,新津油田小口地区,,,,,,,,井戸,油井,399.3,,20,23,,,7.1,8.1,,,,,,,,,,,,,,,3.55,,,,,,,0.88,5.39,6.27,,,,,,3321,,,,0,0,,,,,,,,,4160,5,,,,,,,,,,,1.99,,123,3120,,,0.3,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,牧油田岩神地区,,,,,,,,井戸,油井,374.5,,22.8,12,,,7.3,8.1,,,,,,,,,,,,,,,7.69,,,,,,,18.21,7.29,25.5,,,,,,2485,,,,0,0,,,,,,,,,1740,0,,,,,,,,,,,0.48,,17.6,1270,,,0.02,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,牧油田岩神地区,,,,,,,,井戸,油井,316,,21.6,15.5,,,8.8,8.9,,,,,,,,,,,,,,,17.8,,,,,,,7.84,11.39,19.23,,,,,,7455,,,,0,0,,,,,,,,,768,276,,,,,,,,,,,1.29,,0,830,,,0.02,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,牧油田岩神地区,,,,,,,,井戸,油井,340.3,,26.5,14.4,,,8.7,8.7,,,,,,,,,,,,,,,21.3,,,,,,,20,5,25,,,,,,7915,,,,0,0,,,,,,,,,1180,276,,,,,,,,,,,,,0,1130,,,0.02,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
新潟県,牧油田棚広地区,,,,,,,,井戸,油井,276.3,,,,,,8.8,8.4,,,,,,,,,,,,,,,11.5,,,,,,,24.44,0.84,25.38,,,,,,4855,,,,0,0,,,,,,,,,275,180,,,,,,,,,,,0.23,,0,378,,,0,,,1953-05-01 00:00:00,"新潟油田の地化学的予察報告,地調月報, 1955"
