都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(m),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(ﾏｯﾍ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na＋,Ｋ＋,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
栃木県,No.2,,,,,,,,不明,温泉・鉱泉,,,,31.6,22.9,,6.3,,,,,885,,,,,,,192.1,12.5,,,,3,64.7,,,,,,,,,,,,,247.4,,,,,,,,,92.2,,,,,209.3,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.3,,,,,,,,不明,温泉・鉱泉,,,,51.6,119.3,,7.2,,,,,1694,,,,,,,383.5,24.7,,,,6.8,99.9,,,,,,,,,,,,,506.8,,,,,,,,,128.4,,,,,398,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.4,,,,,,,,不明,温泉・鉱泉,,,,53.9,27.3,,6.1,,,,,1792,,,,,,,432.1,28.3,,,,5.9,124.5,,,,,,,,,,,,,567.7,,,,,,,,,152.3,,,,,345.3,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.5,,,,,,,,不明,温泉・鉱泉,,,,49.1,6.9,,6.9,,,,,1429,,,,,,,283.1,13.7,,,,2.7,81.3,,,,,,,,,,,,,256.6,,,,,,,,,161.3,,,,,512.2,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.1,,,,,,,,不明,温泉・鉱泉,,,,54,4.1,,6.5,,,,,3048,,,,,,,720,40.2,,,,18.2,108.2,,,,,,,,,,,,,926.2,,,,,,,,,107,,,,,794.3,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.2,,,,,,,,不明,温泉・鉱泉,,,,42.1,4,,6.7,,,,,2184,,,,,,,536,30.6,,,,14.7,92.6,,,,,,,,,,,,,677,,,,,,,,,79,,,,,525.2,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.3,,,,,,,,不明,温泉・鉱泉,,,,53.5,17,,7.5,,,,,3216,,,,,,,862,44.3,,,,19.3,108.3,,,,,,,,,,,,,1045,,,,,,,,,87.2,,,,,737.1,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.4,,,,,,,,不明,温泉・鉱泉,,,,59,25.7,,7.6,,,,,3471,,,,,,,945,48.8,,,,23.9,50.6,,,,,,,,,,,,,1009,,,,,,,,,144.8,,,,,987.9,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,No.5,,,,,,,,不明,温泉・鉱泉,,,,55.1,44.1,,6.9,,,,,3317,,,,,,,714,40.4,,,,40.6,153.5,,,,,,,,,,,,,918,,,,,,,,,37,,,,,1159,,,,,,,,,,,,,,,,,,,,mg/kg,1979,"栃木県の温泉,栃木県衛生研究所,1982"
栃木県,宇都宮市,139,54,50,36,36,20,,湧泉,用水,,,,19.5,,,6.1,6.6,,,,,,,,0.4,,,5,1.6,,,0,2.9,15.4,,,,,0,0.03,,,,,,,7,,,,0.01,,,,,25.2,,,,,32.6,,,,,,,,,26.7,,,,,19.5,,,,0.01,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,宇都宮市,,,,,,,,湧泉,用水,,,,16,,,6.2,6.5,,,,,,,,4.8,,,4.2,1.2,,,0.2,2.1,11,,,,,0,0,,,,,,,4,,,,0,,,,,11.2,,,,,35.1,,,,,,,,,30.6,,,6.05,,16.8,,,,0,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,宇都宮市,139,54,50,36,35,0,,井戸,用水,21.2,,,17.7,,,6.1,6.5,,,,,,,,2.8,,,5.1,1.2,,,0.1,2.4,12.2,,,,,0.01,0.02,,,,,,,5.8,,,,0,,,,,11.5,,,,,36.6,,,,,,,,,28.4,,,4.1,,13,,,,0.01,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,宇都宮市,139,56,10,36,33,10,,井戸,用水,85,,,15.2,,,6.7,6.9,,,,,,,,2.7,,,4.4,0.9,,,0,3.1,10.2,,,,,0,0,,,,,,,13.1,,,,0,,,,,2,,,,,33.6,,,,,,,,,31,,,,,4.2,,,,0,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,宇都宮市,,,,,,,,井戸,用水,,,,17,,,6.6,6.8,,,,,,,,2.6,,,4.1,1,,,0,3.4,8.3,,,,,0,0.02,,,,,,,5.2,,,,0,,,,,2,,,,,41.2,,,,,,,,,29.5,,,,,5.9,,,,0.02,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,宇都宮市,139,52,0,36,33,20,,井戸,用水,30.3,,,16.3,,,6.3,6.7,,,,,,,,2.3,,,7.5,1.5,,,0,0.8,14.2,,,,,0,0.01,,,,,,,4.4,,,,0,,,,,7,,,,,47.3,,,,,,,,,34,,,,,18.1,,,,0,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,宇都宮市,139,52,50,36,32,10,,井戸,用水,13.6,,,16.4,,,6.4,6.6,,,,,,,,1.8,,,9.8,1.7,,,0,3.8,18.6,,,,,0.05,0,,,,,,,22,,,,0.01,,,,,17.3,,,,,44.2,,,,,,,,,28.8,,,,,12.5,,,,0,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,鹿沼市,139,45,10,36,34,20,,湧泉,用水,,,,19.5,,,6.1,6.7,,,,,,,,2.1,,,4.4,1.3,,,0,1.1,13.2,,,,,0,0.01,,,,,,,5.5,,,,0,,,,,8,,,,,35.7,,,,,,,,,14.3,,,,,18.5,,,,0,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,鹿沼市,139,45,40,36,34,10,,井戸,用水,6.5,,,19.7,,,6.3,6.5,,,,,,,,1.3,,,4.8,1.5,,,0,1.8,14.1,,,,,0,0,,,,,,,5.2,,,,0,,,,,11,,,,,41.8,,,,,,,,,18.8,,,4.51,,18.2,,,,0.01,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,鹿沼市,139,45,30,36,33,50,,井戸,用水,,,,16.2,,,6,6.4,,,,,,,,0.8,,,4.7,1.7,,,0,1.4,12.1,,,,,0,0.02,,,,,,,8.4,,,,0,,,,,8,,,,,32.3,,,,,,,,,15.7,,,4.3,,23,,,,0.01,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,栃木市,139,45,30,36,24,10,,井戸,用水,12,,,16.2,,,6,6.4,,,,,,,,2.7,,,2.7,1,,,0.1,2,10.2,,,,,0,0.04,,,,,,,4,,,,0,,,,,11,,,,,27.5,,,,,,,,,11,,,7.13,,16,,,,0,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,栃木市,139,44,40,36,22,50,,井戸,用水,4,,,18.1,,,6.4,6.9,,,,,,,,4.6,,,7.1,2,,,0.2,4.1,20.4,,,,,0,0.02,,,,,,,19,,,,0.04,,,,,19.3,,,,,33.6,,,,,,,,,17.7,,,,,12.8,,,,0,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,栃木市,139,42,40,36,22,10,,井戸,用水,9.8,,,16.1,,,5.9,6.2,,,,,,,,1.6,,,13.6,2.8,,,0,6.4,14.8,,,,,0,0.01,,,,,,,31.1,,,,0,,,,,9.5,,,,,45.8,,,,,,,,,19.2,,,2.47,,42,,,,0,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,栃木市,139,42,40,36,20,20,,井戸,用水,12,,,16.8,,,6.5,6.9,,,,,,,,8.5,,,5.5,0.8,,,0,6.2,9.1,,,,,0,0,,,,,,,5.5,,,,0,,,,,5,,,,,57,,,,,,,,,35,,,1.8,,12.5,,,,0.03,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,小山市,139,49,40,36,18,50,,井戸,用水,106,,,16.1,,,7.4,7.5,,,,,,,,3.5,,,4.1,1.2,,,0,3.8,10.7,,,,,0.05,0.02,,,,,,,3.6,,,,0.03,,,,,3,,,,,53.3,,,,,,,,,44.5,,,,,2,,,,0.13,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,小山市,139,48,20,36,19,40,,井戸,用水,6.8,,,15.6,,,7,7.2,,,,,,,,14.9,,,5.3,1.6,,,0.4,3.4,10.2,,,,,1.06,0.08,,,,,,,1.6,,,,0,,,,,3,,,,,61,,,,,,,,,61,,,0.08,,5.5,,,,0.17,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
