都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
愛媛,権現温泉第1号源泉⋯松山市権現町661、権現温泉第2号源泉⋯松山市権現町669,,,,,,,,不明,温泉・鉱泉,,,22.9,27.7,測定不可,無色透明・無味微弱硫化水素臭・沈析物なし,9.7,,7.12,,0.9975,0.1694,,,,,,0.1未満,59.6,0.3,,,0.1未満,0.7,0.8,0.1未満,0.8,0.1未満,0.1未満,,,0.1未満,,0.1未満,,,14.8,7.1,0.1未満,0.1未満,0.8,0.1未満,0.1未満,,0.1未満,,8.8,,,,,44.9,15.2,,,,,,,,,50.9,0.9,,1.1,0.1未満,,,,,,mg/kg,1990.5.21.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,新居浜市立川山西久保462の地先,,,,,,,,不明,温泉・鉱泉,82.3,,23.9,18.6,10.0,黄褐色微白濁・塩味・苦味・金気味・無臭・沈析物なし,7.4,,2.01,,1.0024,7.115,,,,,,19.8,2015,187.5,,,2.0,107.2,423.3,8.7,18.3,0.2,1.3,2.4,6.7,,,0.3,,,0.4,2500,4.2,0.1未満,0.1未満,11.4,10.1,,0.1未満,,0.1未満,,,,,3170,5.4,,,,,,,,,105.5,89.4,,0.1未満,233.6,,,,,,mg/kg,1990.5.22.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,新居浜市立川山西久保462の地先,,,,,,,,不明,温泉・鉱泉,57.0,,23.9,16.9,23.7,黄褐色微白濁・塩味・苦味・金気味・無臭・沈析物なし,7.3,,1.43,,1.0003,3.986,,,,,,10.7,105.0,105.0,,,0.1未満,64.9,310.2,16.0,19.2,0.2,1.7,6.0,2.1,,,0.1未満,,,0.5,1325,2.3,0.1未満,0.1未満,7.7,3.2,,0.1未満,,0.1未満,,,,,2124,2.9,,,,,,,,,75.2,48.6,,0.1未満,250.8,,,,,,mg/kg,1990.5.22.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,上浮穴郡面河村笠方1888番地,,,,,,,,不明,温泉・鉱泉,450,,30.8,15.3,測定不可,黄褐色・塩味土臭・泥土沈析物あり,8.8,,検出せず,,0.9983,1.124,,,,,,0.8,440.7,4.7,,,0.3,1.3,4.2,0.7,0.7,0.1,0.1未満,0.3,0.1,,,1.7,,,4.5,488.9,0.9,0.1,0.1,0.1未満,0.1未満,,0.1未満,,1.7,,,,,309.3,15.5,,,,,,,,,8.9,4.3,,0.1未満,0.8,,,,,,mg/kg,1990.8.31.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,松山市星岡町125-4,,,,,,,,不明,温泉・鉱泉,1000,,30.9,39.8,351.9,微弱白濁・無味微弱硫化水素臭・泥土沈析物あり,8.9,,1.71,,0.9977,0.4298,,,,,,157.4,157.4,0.9,,,0.2,0.6,1.4,0.2,0.1,0.1,0.1未満,,,0.1未満,,0.1未満,,,11.5,116.9,0.2,0.1未満,0.2,0.1未満,0.1未満,,0.1未満,,1.5,,,,,166.7,11.0,,,,,,,,,33.7,13.0,,0.1未満,0.3,,,,,,mg/kg,1990.8.30.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,松山市宮田町5-1,,,,,,,,不明,温泉・鉱泉,1150,,30.6,32.6,186.6,無色透明・無味微弱硫化水素臭・沈析物なし,8.6,,15.3,,0.9978,0.5517,,,,,,201.9,201.9,2.3,,,0.1,3.0,8.8,0.6,0.3,0.2,0.1未満,,,0.1未満,,0.1未満,,,17.9,178.1,0.5,0.1未満,0.1未満,0.1未満,0.1未満,,0.1未満,,0.1未満,,,,,203.1,6.7,,,,,,,,,30.1,15.0,,0.1未満,0.8,,,,,,mg/kg,1990.8.27.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,北条市下難波甲1078-3,,,,,,,,不明,温泉・鉱泉,1000,,29.6,31.8,300,弱黄褐色・塩味苦味・微弱硫化水素臭・沈析物なし,7.5,,1.18,,1.0108,18.08,,,,,,3186,3186,19.0,,,0.1,55.5,338.5,18.2,3.4,0.1未満,0.2,0.4,0.1未満,,,0.1未満,,,0.5,10370,30.7,0.1,0.1未満,0.1未満,0.1未満,,0.2,,908.0,,,,,27.8,0.1未満,,,,,,,,,18.8,1.4,,0.2,1.7,,,,,,mg/kg,1990.9.5.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,南宇和郡一本松中川759番地先,,,,,,,,不明,温泉・鉱泉,100,,21.6,22.2,58.2,無色透明・無味微弱硫化水素臭・沈析物なし,10.1,,0.33,,0.9974,0.1582,,,,,,53.3,53.3,0.3,,,0.3,0.1未満,1.2,0.1未満,0.1未満,0.1未満,0.1未満,,,0.1未満,,0.1未満,,,2.1,3.4,0.1未満,0.1未満,2.0,0.1未満,0.1未満,,0.1未満,,11.2,,,,,33.0,30.0,,,,,,,,,35.4,1.0,,2.6,0.1未満,,,,,,mg/kg,1990.10.23.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,北宇和郡広見町大字清水202番地,,,,,,,,不明,温泉・鉱泉,20,,19.9,19.1,測定不可,無色透明・無味微弱硫化水素臭・沈析物なし,9.2,,検出せず,,0.9976,0.4075,,,,,,0.8,153.4,2.5,,,1.2,1.1,6.1,0.1,0.1,0.1未満,0.1未満,,,0.1未満,,0.1未満,,,1.8,20.9,0.1未満,0.1未満,0.3,0.1未満,0.1未満,,0.1未満,,7.7,,,,,310.1,38.1,,,,,,,,,20.6,4.8,,0.2,0.3,,,,,,mg/kg,1990.10.24.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,温泉郡川内町大字則之内字天神丙901-1,,,,,,,,不明,温泉・鉱泉,105,,8.3,18.2,38.0,微弱黄褐色・塩味及び金気味・微弱土臭及び腐臭・泥土沈析物あり,7.6,,0.39,,0.9986,1.510,,,,,,0.4,474.7,3.7,,,1.0,45.8,61.0,4.0,7.8,0.3,0.1未満,0.4,0.3,,,1.5,,,0.4,560.4,1.1,0.1未満,0.1未満,0.1未満,0.1未満,,0.1未満,,2.5,,,,,704.6,2.1,,,,,,,,,34.7,24.3,,0.1,30.4,,,,,,mg/kg,1991.1.22.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
