都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
山口,秋吉台,131,19,0,34,15,50,,湧泉,用水,,,23.6,15.5,,,,7.8,,,,,,,,,,,3.1,0.2,,,,1.05,50.4,,,,,,,0.08,,,,,,4.7,,,,,,,,,3.3,,,,,156,,,,,,,,,3.7,,,,,,,,,,,,1973-08-07 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,0,34,15,50,,湧泉,用水,,,,,,,,7.9,,,,,,,,,,,3.3,0.22,,,,1.08,54.6,,,,,,,,,,,,,4.3,,,,,,,,,2,,,,,137,,,,,,,,,4.3,,,,,,,,,,,,1977-07-25 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,50,34,15,40,,湧泉,用水,,,,,,,,7.9,,,,,,,,,,,3.4,0.21,,,,1.44,38.7,,,,,,,,,,,,,7.3,,,,,,,,,5.4,,,,,167,,,,,,,,,,,,,,,,,,,,,1974-08-25 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,10,34,16,30,,湧泉,用水,,,16.7,14,,,7.5,,,,,,,,,,,,3.5,0.1,,,,0.55,40.3,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,1974-08-28 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,10,34,16,30,,湧泉,用水,,,14.4,,,,7.5,,,,,,,,,,,,3.4,0.14,,,,0.62,45.5,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,1974-08-28 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,10,34,16,30,,湧泉,用水,,,16.2,15.6,,,7.8,8.2,,,,,,,,,,,3.4,0.22,,,,0.57,40.5,,,,,,,0.28,,,,,,7.1,,,,,,,,,,,,,,53.8,,,,,,,,,5.2,,,,,,,,,,,,1974-08-28 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,10,34,16,30,,湧泉,用水,,,17.2,15.6,,,7.8,8.2,,,,,,,,,,,3.5,0.07,,,,0.66,47,,,,,,,0.05,,,,,,4,,,,,,,,,4.5,,,,,136,,,,,,,,,3.1,,,,,,,,,,,,1974-08-28 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,10,34,16,30,,湧泉,用水,,,14.3,13.4,,,7.6,8,,,,,,,,,,,3.5,0.21,,,,0.63,48.1,,,,,,,0.19,,,,,,6.4,,,,,,,,,5.9,,,,,134,,,,,,,,,4.5,,,,,,,,,,,,1974-08-28 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,20,34,16,20,,湧泉,用水,,,,,,,,8.3,,,,,,,,,,,6,1.54,,,,1.3,25.9,,,,,,,0.58,,,,,,8.3,,,,,,,,,6.7,,,,,86.1,,,,,,,,,11.4,,,,,,,,,,,,1974-08-29 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,40,34,17,10,,湧泉,用水,,,16.2,15.2,,,7.2,7.6,,,,,,,,,,,6.4,1.13,,,,1.3,17.2,,,,,,,0.11,,,,,,7.6,,,,,,,,,5,,,,,23,,,,,,,,,8.4,,,,,,,,,,,,1974-08-26 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
