都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,Free H2S,free CO2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
佐賀県,川副町,130,18,40,33,12,40,,井戸,用水,,,,25.3,,ガス徴,7.5,7.8,,,,,,,,17.7,,,138.8,16.8,,,3.6,9.8,16.6,,,,,0.45,0,,,,,,,59.4,,,,0,,,,,0,,,,,372.1,,,,,,,,,71,,,,,,,,,0.36,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,川副町,130,19,30,33,11,10,,井戸,用水,,,,24.3,,混合水,7.6,,,,,,,,,15,,,81.2,10,,,3.6,3.3,6.2,,,,,,,,,,,,,7,,,,0,,,,,1,,,,,219,,,,,,,,,71.4,,,,,,,,,1.2,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,川副町,130,20,50,33,10,20,,井戸,用水,,,,19.1,,,6.8,7.5,,,,,,,,8,,,695,41.8,,,4.4,107.5,122.4,,,,,0.61,0,,,,,,,1452.5,,,,0,,,,,17,,,,,248.8,,,,,,,,,66.2,,,,,,,,,0,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,諸富町,130,21,10,33,14,0,,井戸,用水,,,,18.8,,,7.3,7.6,,,,,,,,16.7,,,56.1,8.7,,,1,8.6,13,,,,,0.05,0.03,,,,,,,13.5,,,,0,,,,,5,,,,,206.1,,,,,,,,,78,,,,,8,,,,0.6,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,佐賀市,130,22,0,33,14,50,,井戸,用水,153,,,23.7,,,6.5,7,,,,,,,,3.5,,,50.8,8.2,,,0,5.6,11.1,,,,,,,,,,,,,68.2,,,,,,,,,3,,,,,50,,,,,,,,,76.6,,,,,,,,,0,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,千代田町,130,21,0,33,15,30,,井戸,用水,,,,16.6,,,7.5,,,,,,,,,11.5,,,205,33.7,,,13,111.1,106.1,,,,,0.08,0,,,,,,,827.1,,,,0,,,,,0,,,,,122.7,,,,,,,,,22.5,,,,,,,,,0,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,佐賀市,130,19,30,33,16,10,,井戸,用水,250,,,23.8,,,7.5,8,,,,,,,,18,,,70.8,3.8,,,0.3,6.6,20.6,,,,,0.1,0.05,,,,,,,18.1,,,,0,,,,,5,,,,,239.1,,,,,,,,,38,,,,,8.9,,,,,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,神崎市,130,22,20,33,18,20,,井戸,用水,,,,21.2,,Ｈ2Ｓ臭,7.3,7.6,,,,,,,,6.2,,,33.3,1.4,,,0.2,6.8,20.7,,,,,0.36,0,,,,,,,5.7,,,,0,,,,,1,,,,,157.3,,,,,,,,,38,,,,,6.2,,,,0.14,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,三根町,130,26,0,33,17,30,,井戸,用水,,,,20.9,,Ｈ2Ｓ臭,7.5,7.6,,,,,,,,15.5,,,48.5,3.9,,,0.7,1.6,3.3,,,,,0.24,0.07,,,,,,,4.9,,,,0,,,,,3,,,,,115.9,,,,,,,,,60,,,,,2.6,,,,0.91,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,鳥栖市,130,30,10,33,21,30,,井戸,用水,,,,17.8,,,6.9,7.1,,,,,,,,1.8,,,18,1.2,,,0.1,1.5,7.9,,,,,0,0.05,,,,,,,7,,,,0,,,,,0,,,,,61.9,,,,,,,,,55,,,,,10.7,,,,0.04,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
