都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
高知県,高知市,133,32,40,33,34,20,,井戸,用水,30,,,,,,6.7,,,,,125.9,,,,,,,9.9,1.7,,,,6.8,12.4,,,,,,,0.02,,,,,,9.2,,,,,,,,,12.5,,,,,57,,,,,,,,,16.4,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,32,40,33,34,10,,井戸,用水,30,,,,,,6.6,,,,,290.6,,,,,,,40,2.2,,,,15.7,20.9,,,,,,,,,,,,,86.5,,,,,,,,,28.6,,,,,80.5,,,,,,,,,16.2,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,33,50,33,34,10,,井戸,用水,,,,,,,6.7,,,,,128.1,,,,,,,13.8,4.3,,,,4.9,10,,,,,,,,,,,,,18.4,,,,,,,,,21.9,,,,,43.9,,,,,,,,,10.9,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,34,20,33,33,50,,井戸,用水,24,,,,,,7.2,,,,,230.7,,,,,,,13.9,4.1,,,,12.2,18.9,,,,,,,1.74,,,,,,11.3,,,,,,,,,9,,,,,131.3,,,,,,,,,28.3,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,34,30,33,33,50,,井戸,用水,24,,,,,,7,,,,,310.7,,,,,,,37,7.1,,,,14.8,19.4,,,,,,,1.09,,,,,,51.1,,,,,,,,,17,,,,,139.7,,,,,,,,,23.5,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,高知市,133,32,0,33,32,50,,井戸,用水,36,,,,,,7.2,,,,,167,,,,,,,8.5,1.5,,,,7.1,20.5,,,,,,,0.04,,,,,,11.3,,,,,,,,,7.7,,,,,96.4,,,,,,,,,14,,,,,,,,,,,,1966-11-14 00:00:00,"高知平野の地下水.地調月報,1968"
高知県,吾川郡伊野町,,,,,,,,井戸,観測井,51,,,,,,6.8,,,,,,,,,2.8,,,4.7,0.3,,,0,1.8,13.1,,,,,,,0.09,,,,,,4.4,,,,,,,,,4.5,,,,,43.9,,,,,,,,,7.8,,,44.8,,8.2,,,,,,,,"高知県仁淀川下流地区地下水利用適正化調査報告,工業用水,1971"
高知県,土佐市高岡町,,,,,,,,井戸,観測井,61,,,,,,6.9,,,,,,,,,5.1,,,13.3,1.3,,,0,3.7,10.5,,,,,,,0.64,,,,,,11.3,,,,,,,,,3.8,,,,,65.9,,,,,,,,,15,,,0.8,,4.5,,,,,,,,"高知県仁淀川下流地区地下水利用適正化調査報告,工業用水,1971"
高知県,土佐市高岡町,,,,,,,,井戸,観測井,62.5,,,,,,7.1,,,,,,,,,0.6,,,4.3,0.7,,,0,2.1,10.5,,,,,,,0.09,,,,,,4.4,,,,,,,,,3.8,,,,,43.9,,,,,,,,,6.5,,,8,,3.2,,,,,,,,"高知県仁淀川下流地区地下水利用適正化調査報告,工業用水,1971"
高知県,吾川郡春野町,,,,,,,,井戸,観測井,66.8,,,,,,7.5,,,,,,,,,3.5,,,74.5,1.7,,,0.48,7.2,12.2,,,,,,,0.35,,,,,,22.5,,,,,,,,,0,,,,,231.8,,,,,,,,,15,,,7.36,,1.2,,,,,,,,"高知県仁淀川下流地区地下水利用適正化調査報告,工業用水,1971"
