都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,64,22,,6.3,,,,,4252,,,,,,,847.5,135,,,0.68,49,352.5,,,1.38,4.11,0.05,,,,,,,0.45,1678,2.9,1.25,,,,,,,603,,,,,472,,,,,,,,,,234,103.4,,1.39,212.6,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,53,14,,6.8,,,,,4164,,,,,,,845,133.8,,,1.02,49,375,,,1.88,4.23,0.06,,,,,,,0.5,1632,2.9,1.15,,,,,,,570,,,,,513,,,,,,,,,,239.2,97.4,,1.18,128.6,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,54,20,,6,,,,,4581,,,,,,,835,145,,,1.52,55,380,,,1.68,4.52,0.03,,,,,,,0.53,1755,2.3,1.15,,,,,,,660,,,,,203,,,,,,,,,,226.8,105.7,,2.46,112.5,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,60,15,,6.3,,,,,4730,,,,,,,930,155,,,1.92,57,415,,,0.44,5.1,0.08,,,,,,,0.53,1865,4.15,1.95,,,,,,,635,,,,,590,,,,,,,,,,338.6,107,,2.19,256.7,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,47,18,,6.6,,,,,3558,,,,,,,685,113.8,,,0,47,335,,,0.44,4.6,0.26,,,,,,,0.33,1358,3.14,1.25,,,,,,,495,,,,,503,,,,,,,,,,185.9,89.9,,1.65,164.9,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,和賀郡和賀町岩崎新田,140,53,20,39,12,40,650,湧泉,温泉・鉱泉,,,,49,20,,6.3,,,,,3732,,,,,,,690,113.8,,,1.62,53,335,,,0.14,4.44,0.16,,,,,,,0.35,1468,3.38,1.35,,,,,,,418,,,,,644,,,,,,,,,,427.6,101.7,,0.1,290.3,,,,,,mg/kg,1977-09-15 00:00:00,夏油温泉の微量化学成分について，温泉科学，1979
岩手県,岩泉町,141,48,0,39,51,20,,湧泉,用水,,,,10.2,60000,,7.6,7.7,,,,,,,,,,,2.5,0.4,,,,1.2,27.1,,,,,,,,,,,,,3.4,,,,,,,,,1.1,,,,,80.546,,,,,,,,,,,,,,,,,,,,,1977-09-10 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,岩泉町,141,48,0,39,51,20,,湧泉,用水,,,,10,21100,,7.6,7.8,,,,,165,,,,,,2.8,0.4,,,,1.2,25.6,,,,,,,,,,,,,2.5,,,,,,,,,2.2,,,,,82.987,,,,,,,,,9.8,,,,,,,,,,,,1978-08-06 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,岩泉町,141,48,0,39,51,20,,湧泉,用水,,,,10,26700,,7.6,7.8,,,,,163,,,,,,2.7,0.4,,,,1.2,26.3,,,,,,,,,,,,,2.5,,,,,,,,,1.9,,,,,82.987,,,,,,,,,9.6,,,,,,,,,,,,1978-08-08 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,岩泉町,141,48,0,39,51,20,,湧泉,用水,,,,9.9,,,7.5,7.8,,,,,162,,,,,,2.7,0.4,,,,1.2,26.7,,,,,,,,,,,,,2.4,,,,,,,,,1.9,,,,,84.208,,,,,,,,,10,,,,,,,,,,,,1978-08-09 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
